LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID40961,40961,0,386.0,442.71774763229195,205.4139051340156,0.0,329.99288749694824,11,4.0479887288615926,1,,4223.572890025575,4007.0,2017.0,8498.0,1651417.0,1198.90388793011,-0.2430284652408098,-2.262055292597383,-0.10102345920699211,-0.1650526777521361,6.862484718576651,2.435399089731426,1.284720261725699,2.8178070475231394,51.47880559238794,32.48947966614211,0.6128480575915733,0.9326923076923075,4.528230494277829
ID50177,50177,0,303.0,472.0228317033794,38.13968288064221,0.0,3149.932107925415,105,3.5978137002297412,1,,4172.664495114007,4104.0,1952.0,6742.0,1281008.0,1057.489755575461,-0.25669965320106036,-2.725387375252388,-0.12064079681191721,-0.4611058990070783,5.833658884230297,3.114103843254643,1.225873974206484,1.8733026186221733,40.66560287130656,32.33510581650318,0.4887519533777384,0.8239247311827949,5.070615491686141
ID45058,45058,0,358.0,454.3199662995583,109.10989643147417,0.0,1769.9618511199951,59,3.885630101141539,1,,3992.6685393258426,3847.0,2070.0,6868.0,1421390.0,1057.4460981003806,-0.2846374910187859,-3.004698784038632,-0.09886263301157489,0.05104614833937382,6.278275573242594,2.6278007418064107,0.23806441893858188,2.3891748995118873,47.43214690535757,37.59691260931632,0.4216754146102558,0.7918050941306759,5.459033905852197
ID47627,47627,0,337.0,456.2062000652672,59.597945802669656,0.0,2459.946979522705,82,3.7725793414657476,1,,4097.255952380952,3905.0,2322.0,7250.0,1376678.0,1026.5269950694203,-0.26198886175479913,-2.833822390961656,0.028263263875184106,0.21945091201818112,5.827597590636891,3.0973923767333247,1.245130279634699,1.8814528099223213,44.71226155833701,33.33092966930386,0.5057567022951286,0.777393310265282,4.984643562745554
ID40973,40973,0,401.0,446.22724647974366,218.25349541398322,0.0,149.99676704406738,5,4.097245607270602,1,,3894.0250626566417,3826.0,2143.0,7519.0,1553716.0,995.4993062363324,-0.1952965927696784,-1.8986573839921046,0.5904554819761282,-0.4706606112244718,7.280707149899101,3.219636541248455,0.44396172301993175,2.2613444271184457,52.73924026539742,43.153410041306856,0.3558881220155193,0.6669463087248312,5.9422125919586115
ID47120,47120,0,360.0,455.14071295088337,64.60633628976314,0.0,2339.949565887451,78,3.907307424715555,1,,4039.3553719008264,3837.0,1767.0,7937.0,1466286.0,1093.8071268832134,-0.25820751119084334,-2.5709151884628216,0.02421676060432352,0.4362545153288292,5.3803268390450345,3.2377804401705315,0.9182141104649987,1.6617330725370794,47.96285624136152,34.811409566420586,0.49736095032360705,0.7626582278481014,5.0265393866260695
ID43538,43538,0,362.0,440.41591773741743,142.83808739718214,0.0,1169.9747829437256,39,3.9073074247155613,1,,4404.168975069252,4252.0,1871.0,7556.0,1589905.0,1100.8305080616287,-0.2160293508797197,-2.2048876711728327,0.07887139841677296,-0.019630890530588047,4.841356132060284,3.32922256311583,1.4783392048908819,1.4542002044853508,47.96285624136168,27.177411599080568,0.8160160829457163,0.9513157894736827,3.924240113537376
