	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	645	1185	-10.000	-10.000	95
2	1	2	645	1185	0.0000	0.0000	22
3	1	3	645	1183	0.2580	0.1290	133
4	1	4	645	1183	0.0000	0.0000	131
5	1	5	645	1183	0.0000	0.0000	31
6	1	6	645	1182	0.1290	0.0645	22
7	1	7	645	1179	0.3870	0.1935	120
8	1	8	645	1179	0.0000	0.0000	119
9	1	9	645	1179	0.0000	0.0000	102
10	1	10	645	1179	0.0000	0.0000	94
11	1	11	647	1179	0.2580	0.1290	79
12	1	12	646	1179	0.1290	0.0645	78
13	1	13	646	1179	0.0000	0.0000	6
14	1	14	646	1177	0.2580	0.1290	151
15	1	15	645	1175	0.2885	0.1442	178
16	1	16	645	1174	0.1290	0.0645	81
17	1	17	645	1174	0.0000	0.0000	152
18	1	18	645	1174	0.0000	0.0000	126
19	1	19	645	1174	0.0000	0.0000	128
20	1	20	645	1170	0.5160	0.2580	56
21	1	21	646	1171	0.1824	0.0912	126
22	1	22	646	1171	0.0000	0.0000	77
23	1	23	647	1170	0.1824	0.0912	93
24	1	24	647	1169	0.1290	0.0645	69
25	1	25	647	1169	0.0000	0.0000	110
26	1	26	646	1167	0.2885	0.1442	171
27	1	27	647	1165	0.2885	0.1442	171
28	1	28	647	1162	0.3870	0.1935	137
29	1	29	647	1162	0.0000	0.0000	144
30	1	30	647	1161	0.1290	0.0645	161
31	1	31	649	1161	0.2580	0.1290	24
32	1	32	649	1159	0.2580	0.1290	59
33	1	33	647	1158	0.2885	0.1442	151
34	1	34	647	1157	0.1290	0.0645	78
35	1	35	646	1155	0.2885	0.1442	80
36	1	36	649	1154	0.4079	0.2040	95
37	1	37	649	1153	0.1290	0.0645	127
38	1	38	649	1151	0.2580	0.1290	174
39	1	39	649	1151	0.0000	0.0000	65
40	1	40	649	1149	0.2580	0.1290	49
41	1	41	649	1147	0.2580	0.1290	112
42	1	42	647	1146	0.2885	0.1442	129
43	1	43	647	1146	0.0000	0.0000	230
44	1	44	647	1145	0.1290	0.0645	138
45	1	45	647	1145	0.0000	0.0000	54
46	1	46	647	1143	0.2580	0.1290	192
47	1	47	649	1142	0.2885	0.1442	5
48	1	48	649	1141	0.1290	0.0645	20
49	1	49	647	1139	0.3649	0.1824	191
50	1	50	646	1138	0.1824	0.0912	213
51	1	51	646	1137	0.1290	0.0645	83
52	1	52	646	1137	0.0000	0.0000	67
53	1	53	646	1134	0.3870	0.1935	255
54	1	54	646	1134	0.0000	0.0000	58
55	1	55	646	1131	0.3870	0.1935	114
56	1	56	645	1131	0.1290	0.0645	96
57	1	57	645	1131	0.0000	0.0000	60
58	1	58	645	1129	0.2580	0.1290	78
59	1	59	645	1127	0.2580	0.1290	99
60	1	60	645	1126	0.1290	0.0645	76
61	1	61	645	1125	0.1290	0.0645	68
62	1	62	643	1123	0.3649	0.1824	182
63	1	63	643	1122	0.1290	0.0645	56
64	1	64	643	1121	0.1290	0.0645	104
65	1	65	643	1118	0.3870	0.1935	93
66	1	66	643	1115	0.3870	0.1935	69
67	1	67	643	1115	0.0000	0.0000	106
68	1	68	643	1113	0.2580	0.1290	187
69	1	69	643	1113	0.0000	0.0000	108
70	1	70	642	1110	0.4079	0.2040	177
71	1	71	642	1110	0.0000	0.0000	135
72	1	72	642	1109	0.1290	0.0645	43
73	1	73	641	1106	0.4079	0.2040	149
74	1	74	641	1105	0.1290	0.0645	103
75	1	75	641	1103	0.2580	0.1290	152
76	1	76	641	1101	0.2580	0.1290	49
77	1	77	641	1099	0.2580	0.1290	54
78	1	78	641	1098	0.1290	0.0645	6
79	1	79	639	1095	0.4651	0.2326	253
80	1	80	639	1094	0.1290	0.0645	31
81	1	81	638	1093	0.1824	0.0912	40
82	1	82	638	1087	0.7740	0.3870	108
83	1	83	638	1087	0.0000	0.0000	255
84	1	84	638	1085	0.2580	0.1290	167
85	1	85	638	1083	0.2580	0.1290	138
86	1	86	638	1082	0.1290	0.0645	60
87	1	87	638	1079	0.3870	0.1935	21
88	1	88	638	1078	0.1290	0.0645	26
89	1	89	638	1075	0.3870	0.1935	76
90	1	90	638	1073	0.2580	0.1290	88
91	1	91	638	1070	0.3870	0.1935	126
92	1	92	638	1070	0.0000	0.0000	74
93	1	93	637	1069	0.1824	0.0912	35
94	1	94	637	1066	0.3870	0.1935	109
95	1	95	635	1063	0.4651	0.2326	63
96	1	96	637	1063	0.2580	0.1290	62
97	1	97	637	1061	0.2580	0.1290	55
98	1	98	637	1061	0.0000	0.0000	20
99	1	99	637	1061	0.0000	0.0000	20
100	1	100	637	1058	0.3870	0.1935	22
101	1	101	635	1055	0.4651	0.2326	79
102	1	102	634	1054	0.1824	0.0912	50
103	1	103	634	1053	0.1290	0.0645	79
104	1	104	633	1053	0.1290	0.0645	113
105	1	105	633	1051	0.2580	0.1290	47
106	1	106	631	1050	0.2885	0.1442	96
107	1	107	631	1049	0.1290	0.0645	58
108	1	108	631	1046	0.3870	0.1935	70
109	1	109	631	1045	0.1290	0.0645	64
110	1	110	631	1043	0.2580	0.1290	133
111	1	111	631	1042	0.1290	0.0645	62
112	1	112	631	1041	0.1290	0.0645	32
113	1	113	630	1039	0.2885	0.1442	75
114	1	114	630	1037	0.2580	0.1290	212
115	1	115	629	1034	0.4079	0.2040	40
116	1	116	627	1035	0.2885	0.1442	219
117	1	117	627	1033	0.2580	0.1290	137
118	1	118	627	1031	0.2580	0.1290	158
119	1	119	627	1031	0.0000	0.0000	171
120	1	120	627	1030	0.1290	0.0645	75
121	1	121	627	1027	0.3870	0.1935	84
122	1	122	625	1026	0.2885	0.1442	111
123	1	123	625	1025	0.1290	0.0645	235
124	1	124	625	1025	0.0000	0.0000	35
125	1	125	623	1021	0.5769	0.2885	81
126	1	126	623	1021	0.0000	0.0000	246
127	1	127	623	1021	0.0000	0.0000	161
128	1	128	622	1019	0.2885	0.1442	155
129	1	129	622	1019	0.0000	0.0000	162
130	1	130	622	1019	0.0000	0.0000	40
131	1	131	622	1017	0.2580	0.1290	161
132	1	132	622	1015	0.2580	0.1290	177
133	1	133	622	1015	0.0000	0.0000	173
134	1	134	622	1014	0.1290	0.0645	119
135	1	135	622	1011	0.3870	0.1935	172
136	1	136	622	1010	0.1290	0.0645	104
137	1	137	621	1010	0.1290	0.0645	109
138	1	138	621	1009	0.1290	0.0645	206
139	1	139	621	1009	0.0000	0.0000	85
140	1	140	621	1006	0.3870	0.1935	138
141	1	141	621	1005	0.1290	0.0645	156
142	1	142	622	1003	0.2885	0.1442	131
143	1	143	622	1003	0.0000	0.0000	93
144	1	144	622	1002	0.1290	0.0645	230
145	1	145	622	999	0.3870	0.1935	75
146	1	146	622	999	0.0000	0.0000	101
147	1	147	622	998	0.1290	0.0645	88
148	1	148	622	998	0.0000	0.0000	173
149	1	149	622	995	0.3870	0.1935	26
150	1	150	622	993	0.2580	0.1290	27
151	1	151	623	993	0.1290	0.0645	102
152	1	152	626	993	0.3870	0.1935	124
153	1	153	627	993	0.1290	0.0645	37
154	1	154	627	990	0.3870	0.1935	169
155	1	155	627	989	0.1290	0.0645	42
156	1	156	627	987	0.2580	0.1290	255
157	1	157	627	986	0.1290	0.0645	99
158	1	158	627	983	0.3870	0.1935	75
159	1	159	627	982	0.1290	0.0645	33
160	1	160	629	982	0.2580	0.1290	158
161	1	161	629	982	0.0000	0.0000	148
162	1	162	631	979	0.4651	0.2326	210
163	1	163	631	979	0.0000	0.0000	252
164	1	164	631	978	0.1290	0.0645	60
165	1	165	631	977	0.1290	0.0645	212
166	1	166	633	977	0.2580	0.1290	96
167	1	167	633	975	0.2580	0.1290	169
168	1	168	633	975	0.0000	0.0000	150
169	1	169	633	974	0.1290	0.0645	45
170	1	170	634	974	0.1290	0.0645	63
171	1	171	635	971	0.4079	0.2040	189
172	1	172	638	969	0.4651	0.2326	72
173	1	173	638	970	0.1290	0.0645	16
174	1	174	638	967	0.3870	0.1935	149
175	1	175	638	966	0.1290	0.0645	64
176	1	176	638	966	0.0000	0.0000	116
177	1	177	638	963	0.3870	0.1935	81
178	1	178	641	961	0.4651	0.2326	194
179	1	179	641	961	0.0000	0.0000	160
180	1	180	642	959	0.2885	0.1442	98
181	1	181	642	957	0.2580	0.1290	140
182	1	182	643	957	0.1290	0.0645	200
183	1	183	643	955	0.2580	0.1290	148
184	1	184	645	954	0.2885	0.1442	229
185	1	185	646	953	0.1824	0.0912	126
186	1	186	647	951	0.2885	0.1442	155
187	1	187	647	951	0.0000	0.0000	255
188	1	188	647	949	0.2580	0.1290	255
189	1	189	647	949	0.0000	0.0000	125
190	1	190	649	946	0.4651	0.2326	121
191	1	191	649	946	0.0000	0.0000	255
192	1	192	649	946	0.0000	0.0000	191
193	1	193	650	945	0.1824	0.0912	255
194	1	194	650	945	0.0000	0.0000	73
195	1	195	650	945	0.0000	0.0000	47
196	1	196	650	943	0.2580	0.1290	160
197	1	197	650	943	0.0000	0.0000	106
198	1	198	650	943	0.0000	0.0000	77
199	1	199	653	941	0.4651	0.2326	32
200	1	200	653	941	0.0000	0.0000	23
201	1	201	653	941	0.0000	0.0000	88
202	1	202	653	939	0.2580	0.1290	43
203	1	203	653	939	0.0000	0.0000	28
204	1	204	653	939	0.0000	0.0000	42
205	1	205	653	939	0.0000	0.0000	33
206	1	206	651	939	0.2580	0.1290	28
207	1	207	650	939	0.1290	0.0645	140
208	1	208	650	939	0.0000	0.0000	69
209	1	209	650	939	0.0000	0.0000	82
210	1	210	649	939	0.1290	0.0645	43
211	1	211	649	939	0.0000	0.0000	136
212	1	212	649	939	0.0000	0.0000	198
213	1	213	649	939	0.0000	0.0000	111
214	1	214	649	939	0.0000	0.0000	126
215	1	215	649	939	0.0000	0.0000	56
216	1	216	649	939	0.0000	0.0000	93
217	1	217	649	939	0.0000	0.0000	52
218	1	218	649	938	0.1290	0.0645	74
219	1	219	649	938	0.0000	0.0000	7
220	1	220	647	937	0.2885	0.1442	179
221	1	221	647	938	0.1290	0.0645	128
222	1	222	646	937	0.1824	0.0912	237
223	1	223	646	935	0.2580	0.1290	133
224	1	224	645	935	0.1290	0.0645	232
225	1	225	645	935	0.0000	0.0000	110
226	1	226	645	934	0.1290	0.0645	67
227	1	227	643	935	0.2885	0.1442	123
228	1	228	639	935	0.5160	0.2580	122
229	1	229	639	935	0.0000	0.0000	148
230	1	230	641	934	0.2885	0.1442	48
231	1	231	638	934	0.3870	0.1935	69
232	1	232	638	934	0.0000	0.0000	59
233	1	233	635	934	0.3870	0.1935	170
234	1	234	633	934	0.2580	0.1290	97
235	1	235	633	934	0.0000	0.0000	99
236	1	236	633	934	0.0000	0.0000	10
237	1	237	631	934	0.2580	0.1290	39
238	1	238	629	934	0.2580	0.1290	103
239	1	239	627	934	0.2580	0.1290	111
240	1	240	627	934	0.0000	0.0000	3
241	1	241	625	934	0.2580	0.1290	28
242	1	242	622	934	0.3870	0.1935	34
243	1	243	619	933	0.4079	0.2040	186
244	1	244	617	933	0.2580	0.1290	88
245	1	245	617	933	0.0000	0.0000	11
246	1	246	613	931	0.5769	0.2885	190
247	1	247	613	931	0.0000	0.0000	45
248	1	248	611	931	0.2580	0.1290	32
249	1	249	609	930	0.2885	0.1442	27
250	1	250	605	930	0.5160	0.2580	156
251	1	251	601	930	0.5160	0.2580	173
252	1	252	599	930	0.2580	0.1290	198
253	1	253	598	931	0.1824	0.0912	85
254	1	254	595	931	0.3870	0.1935	103
255	1	255	594	930	0.1824	0.0912	129
256	1	256	593	931	0.1824	0.0912	74
257	1	257	590	930	0.4079	0.2040	117
258	1	258	587	930	0.3870	0.1935	117
259	1	259	585	930	0.2580	0.1290	162
260	1	260	583	929	0.2885	0.1442	128
261	1	261	581	929	0.2580	0.1290	255
262	1	262	579	929	0.2580	0.1290	106
263	1	263	577	929	0.2580	0.1290	141
264	1	264	575	929	0.2580	0.1290	118
265	1	265	574	929	0.1290	0.0645	120
266	1	266	574	929	0.0000	0.0000	42
267	1	267	569	929	0.6450	0.3225	166
268	1	268	569	927	0.2580	0.1290	143
269	1	269	566	927	0.3870	0.1935	147
270	1	270	563	929	0.4651	0.2326	68
271	1	271	562	929	0.1290	0.0645	176
272	1	272	559	929	0.3870	0.1935	114
273	1	273	558	927	0.2885	0.1442	162
274	1	274	558	929	0.2580	0.1290	83
275	1	275	558	929	0.0000	0.0000	23
276	1	276	554	929	0.5160	0.2580	106
277	1	277	551	929	0.3870	0.1935	132
278	1	278	550	929	0.1290	0.0645	66
279	1	279	547	929	0.3870	0.1935	102
280	1	280	547	929	0.0000	0.0000	86
281	1	281	543	929	0.5160	0.2580	166
282	1	282	542	929	0.1290	0.0645	233
283	1	283	542	929	0.0000	0.0000	126
284	1	284	541	930	0.1824	0.0912	28
285	1	285	538	930	0.3870	0.1935	132
286	1	286	537	930	0.1290	0.0645	32
287	1	287	535	930	0.2580	0.1290	143
288	1	288	534	930	0.1290	0.0645	131
289	1	289	533	929	0.1824	0.0912	199
290	1	290	531	929	0.2580	0.1290	149
291	1	291	530	930	0.1824	0.0912	156
292	1	292	529	929	0.1824	0.0912	152
293	1	293	527	929	0.2580	0.1290	162
294	1	294	527	929	0.0000	0.0000	109
295	1	295	526	929	0.1290	0.0645	15
296	1	296	522	929	0.5160	0.2580	123
297	1	297	521	927	0.2885	0.1442	26
298	1	298	521	927	0.0000	0.0000	56
299	1	299	518	929	0.4651	0.2326	74
300	1	300	518	927	0.2580	0.1290	40
