	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	617	1395	-10.000	-10.000	75
2	1	2	617	1394	0.1290	0.0645	46
3	1	3	617	1394	0.0000	0.0000	59
4	1	4	617	1393	0.1290	0.0645	51
5	1	5	617	1393	0.0000	0.0000	48
6	1	6	620	1391	0.4651	0.2326	46
7	1	7	620	1389	0.2580	0.1290	16
8	1	8	619	1387	0.2885	0.1442	6
9	1	9	620	1386	0.1824	0.0912	12
10	1	10	620	1386	0.0000	0.0000	61
11	1	11	620	1383	0.3870	0.1935	37
12	1	12	620	1382	0.1290	0.0645	5
13	1	13	620	1382	0.0000	0.0000	59
14	1	14	620	1382	0.0000	0.0000	63
15	1	15	621	1382	0.1290	0.0645	71
16	1	16	621	1382	0.0000	0.0000	64
17	1	17	621	1382	0.0000	0.0000	52
18	1	18	621	1382	0.0000	0.0000	46
19	1	19	623	1378	0.5769	0.2885	16
20	1	20	624	1377	0.1824	0.0912	63
21	1	21	624	1377	0.0000	0.0000	58
22	1	22	624	1375	0.2580	0.1290	12
23	1	23	624	1375	0.0000	0.0000	12
24	1	24	624	1374	0.1290	0.0645	24
25	1	25	625	1373	0.1824	0.0912	12
26	1	26	627	1371	0.3649	0.1824	147
27	1	27	628	1370	0.1824	0.0912	79
28	1	28	629	1370	0.1290	0.0645	9
29	1	29	631	1367	0.4651	0.2326	52
30	1	30	631	1366	0.1290	0.0645	50
31	1	31	631	1366	0.0000	0.0000	105
32	1	32	631	1366	0.0000	0.0000	44
33	1	33	632	1363	0.4079	0.2040	41
34	1	34	632	1365	0.2580	0.1290	25
35	1	35	632	1365	0.0000	0.0000	46
36	1	36	636	1362	0.6450	0.3225	98
37	1	37	636	1361	0.1290	0.0645	56
38	1	38	637	1361	0.1290	0.0645	49
39	1	39	639	1359	0.3649	0.1824	89
40	1	40	641	1358	0.2885	0.1442	35
41	1	41	641	1357	0.1290	0.0645	27
42	1	42	641	1355	0.2580	0.1290	55
43	1	43	641	1355	0.0000	0.0000	38
44	1	44	644	1355	0.3870	0.1935	68
45	1	45	644	1354	0.1290	0.0645	80
46	1	46	647	1353	0.4079	0.2040	80
47	1	47	647	1353	0.0000	0.0000	48
48	1	48	647	1350	0.3870	0.1935	41
49	1	49	648	1350	0.1290	0.0645	31
50	1	50	647	1347	0.4079	0.2040	38
51	1	51	647	1347	0.0000	0.0000	13
52	1	52	647	1347	0.0000	0.0000	14
53	1	53	647	1345	0.2580	0.1290	0
54	1	54	647	1345	0.0000	0.0000	28
55	1	55	647	1345	0.0000	0.0000	20
56	1	56	649	1345	0.2580	0.1290	57
57	1	57	651	1343	0.3649	0.1824	36
58	1	58	651	1343	0.0000	0.0000	39
59	1	59	652	1343	0.1290	0.0645	61
60	1	60	652	1343	0.0000	0.0000	74
61	1	61	652	1343	0.0000	0.0000	68
62	1	62	652	1343	0.0000	0.0000	65
63	1	63	652	1343	0.0000	0.0000	80
64	1	64	652	1343	0.0000	0.0000	43
65	1	65	652	1343	0.0000	0.0000	81
66	1	66	652	1343	0.0000	0.0000	49
67	1	67	652	1343	0.0000	0.0000	29
68	1	68	653	1342	0.1824	0.0912	17
69	1	69	653	1342	0.0000	0.0000	29
70	1	70	656	1341	0.4079	0.2040	36
71	1	71	655	1341	0.1290	0.0645	95
72	1	72	655	1341	0.0000	0.0000	77
73	1	73	655	1339	0.2580	0.1290	81
74	1	74	655	1339	0.0000	0.0000	60
75	1	75	655	1339	0.0000	0.0000	42
76	1	76	655	1339	0.0000	0.0000	36
77	1	77	657	1337	0.3649	0.1824	38
78	1	78	657	1337	0.0000	0.0000	93
79	1	79	657	1337	0.0000	0.0000	45
80	1	80	657	1337	0.0000	0.0000	56
81	1	81	657	1337	0.0000	0.0000	27
82	1	82	657	1335	0.2580	0.1290	116
83	1	83	657	1335	0.0000	0.0000	38
84	1	84	657	1335	0.0000	0.0000	155
85	1	85	657	1335	0.0000	0.0000	51
86	1	86	657	1334	0.1290	0.0645	33
87	1	87	657	1334	0.0000	0.0000	76
88	1	88	657	1334	0.0000	0.0000	76
89	1	89	657	1334	0.0000	0.0000	27
90	1	90	657	1334	0.0000	0.0000	18
91	1	91	657	1334	0.0000	0.0000	5
92	1	92	657	1334	0.0000	0.0000	26
93	1	93	657	1334	0.0000	0.0000	15
94	1	94	657	1333	0.1290	0.0645	28
95	1	95	657	1331	0.2580	0.1290	21
96	1	96	657	1331	0.0000	0.0000	16
97	1	97	656	1329	0.2885	0.1442	29
98	1	98	653	1329	0.3870	0.1935	19
99	1	99	655	1326	0.4651	0.2326	10
100	1	100	656	1327	0.1824	0.0912	74
101	1	101	653	1327	0.3870	0.1935	23
102	1	102	653	1327	0.0000	0.0000	30
103	1	103	653	1327	0.0000	0.0000	18
104	1	104	652	1326	0.1824	0.0912	15
105	1	105	652	1325	0.1290	0.0645	3
106	1	106	652	1325	0.0000	0.0000	18
107	1	107	652	1325	0.0000	0.0000	53
108	1	108	651	1325	0.1290	0.0645	15
109	1	109	647	1326	0.5319	0.2659	25
110	1	110	645	1325	0.2885	0.1442	28
111	1	111	643	1325	0.2580	0.1290	48
112	1	112	643	1325	0.0000	0.0000	30
113	1	113	641	1326	0.2885	0.1442	38
114	1	114	640	1327	0.1824	0.0912	28
115	1	115	637	1326	0.4079	0.2040	39
116	1	116	636	1325	0.1824	0.0912	20
117	1	117	635	1329	0.5319	0.2659	11
118	1	118	631	1329	0.5160	0.2580	2
119	1	119	631	1327	0.2580	0.1290	0
120	1	120	628	1327	0.3870	0.1935	5
121	1	121	627	1327	0.1290	0.0645	15
122	1	122	625	1326	0.2885	0.1442	27
123	1	123	620	1326	0.6450	0.3225	26
124	1	124	620	1323	0.3870	0.1935	67
125	1	125	616	1323	0.5160	0.2580	14
126	1	126	615	1321	0.2885	0.1442	33
127	1	127	613	1319	0.3649	0.1824	25
128	1	128	611	1318	0.2885	0.1442	23
129	1	129	608	1318	0.3870	0.1935	12
130	1	130	604	1318	0.5160	0.2580	10
131	1	131	600	1318	0.5160	0.2580	50
132	1	132	599	1317	0.1824	0.0912	19
133	1	133	599	1315	0.2580	0.1290	20
134	1	134	597	1314	0.2885	0.1442	46
135	1	135	595	1313	0.2885	0.1442	18
136	1	136	592	1313	0.3870	0.1935	19
137	1	137	591	1311	0.2885	0.1442	34
138	1	138	588	1310	0.4079	0.2040	37
139	1	139	587	1307	0.4079	0.2040	19
140	1	140	585	1306	0.2885	0.1442	16
141	1	141	583	1306	0.2580	0.1290	12
142	1	142	580	1303	0.5473	0.2737	16
143	1	143	579	1302	0.1824	0.0912	32
144	1	144	577	1302	0.2580	0.1290	22
145	1	145	575	1302	0.2580	0.1290	42
146	1	146	572	1301	0.4079	0.2040	46
147	1	147	569	1298	0.5473	0.2737	14
148	1	148	569	1297	0.1290	0.0645	39
149	1	149	567	1294	0.4651	0.2326	20
150	1	150	567	1291	0.3870	0.1935	29
151	1	151	561	1290	0.7847	0.3923	44
152	1	152	560	1290	0.1290	0.0645	35
153	1	153	557	1287	0.5473	0.2737	16
154	1	154	555	1286	0.2885	0.1442	6
155	1	155	551	1285	0.5319	0.2659	30
156	1	156	551	1281	0.5160	0.2580	29
157	1	157	549	1281	0.2580	0.1290	5
158	1	158	548	1279	0.2885	0.1442	12
159	1	159	548	1277	0.2580	0.1290	23
160	1	160	543	1274	0.7522	0.3761	38
161	1	161	540	1271	0.5473	0.2737	58
162	1	162	540	1269	0.2580	0.1290	60
163	1	163	536	1266	0.6450	0.3225	16
164	1	164	535	1262	0.5319	0.2659	30
165	1	165	532	1261	0.4079	0.2040	14
166	1	166	529	1257	0.6450	0.3225	10
167	1	167	529	1254	0.3870	0.1935	16
168	1	168	527	1253	0.2885	0.1442	14
169	1	169	524	1247	0.8654	0.4327	98
170	1	170	523	1245	0.2885	0.1442	42
171	1	171	523	1243	0.2580	0.1290	32
172	1	172	523	1241	0.2580	0.1290	15
173	1	173	519	1238	0.6450	0.3225	4
174	1	174	516	1235	0.5473	0.2737	20
175	1	175	513	1234	0.4079	0.2040	45
176	1	176	512	1233	0.1824	0.0912	6
177	1	177	509	1229	0.6450	0.3225	20
178	1	178	509	1229	0.0000	0.0000	49
179	1	179	508	1227	0.2885	0.1442	22
180	1	180	503	1222	0.9122	0.4561	71
181	1	181	503	1222	0.0000	0.0000	27
182	1	182	501	1219	0.4651	0.2326	29
183	1	183	500	1217	0.2885	0.1442	41
184	1	184	497	1213	0.6450	0.3225	51
185	1	185	497	1211	0.2580	0.1290	75
186	1	186	497	1210	0.1290	0.0645	42
187	1	187	495	1206	0.5769	0.2885	104
188	1	188	492	1206	0.3870	0.1935	53
189	1	189	492	1205	0.1290	0.0645	23
190	1	190	491	1201	0.5319	0.2659	42
191	1	191	488	1199	0.4651	0.2326	46
192	1	192	487	1198	0.1824	0.0912	6
193	1	193	484	1194	0.6450	0.3225	14
194	1	194	484	1190	0.5160	0.2580	21
195	1	195	483	1189	0.1824	0.0912	31
196	1	196	481	1186	0.4651	0.2326	24
197	1	197	479	1183	0.4651	0.2326	18
198	1	198	476	1179	0.6450	0.3225	34
199	1	199	476	1178	0.1290	0.0645	22
200	1	200	473	1174	0.6450	0.3225	13
201	1	201	472	1171	0.4079	0.2040	17
202	1	202	472	1169	0.2580	0.1290	4
203	1	203	471	1165	0.5319	0.2659	7
204	1	204	467	1165	0.5160	0.2580	64
205	1	205	465	1163	0.3649	0.1824	39
206	1	206	464	1162	0.1824	0.0912	39
207	1	207	464	1158	0.5160	0.2580	58
208	1	208	463	1157	0.1824	0.0912	18
209	1	209	461	1157	0.2580	0.1290	28
210	1	210	459	1153	0.5769	0.2885	31
211	1	211	457	1153	0.2580	0.1290	34
212	1	212	456	1151	0.2885	0.1442	27
213	1	213	456	1150	0.1290	0.0645	65
214	1	214	456	1150	0.0000	0.0000	65
215	1	215	455	1147	0.4079	0.2040	74
216	1	216	455	1147	0.0000	0.0000	59
217	1	217	455	1147	0.0000	0.0000	23
218	1	218	455	1147	0.0000	0.0000	54
219	1	219	453	1146	0.2885	0.1442	40
220	1	220	453	1145	0.1290	0.0645	55
221	1	221	449	1142	0.6450	0.3225	48
222	1	222	448	1141	0.1824	0.0912	75
223	1	223	448	1141	0.0000	0.0000	21
224	1	224	448	1141	0.0000	0.0000	24
225	1	225	448	1139	0.2580	0.1290	18
226	1	226	447	1135	0.5319	0.2659	63
227	1	227	445	1134	0.2885	0.1442	63
228	1	228	445	1131	0.3870	0.1935	52
229	1	229	443	1129	0.3649	0.1824	61
230	1	230	443	1126	0.3870	0.1935	28
