	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	1068	539	-1.000	-1.000	34
2	1	2	1068	539	0.000	0.000	74
3	1	3	1066	539	0.258	0.129	33
4	1	4	1059	539	0.903	0.452	67
5	1	5	1059	539	0.000	0.000	93
6	1	6	1059	539	0.000	0.000	3
7	1	7	1057	539	0.258	0.129	27
8	1	8	1053	539	0.516	0.258	60
9	1	9	1052	540	0.182	0.091	0
10	1	10	1049	540	0.387	0.194	12
11	1	11	1044	540	0.645	0.323	41
12	1	12	1043	540	0.129	0.065	6
13	1	13	1041	539	0.288	0.144	5
14	1	14	1038	539	0.387	0.194	19
15	1	15	1031	538	0.912	0.456	85
16	1	16	1031	538	0.000	0.000	0
17	1	17	1029	538	0.258	0.129	40
18	1	18	1025	541	0.645	0.323	28
19	1	19	1023	540	0.288	0.144	1
20	1	20	1020	539	0.408	0.204	20
21	1	21	1017	539	0.387	0.194	33
22	1	22	1012	539	0.645	0.323	42
23	1	23	1010	539	0.258	0.129	26
24	1	24	1008	539	0.258	0.129	8
25	1	25	1004	539	0.516	0.258	38
26	1	26	998	539	0.774	0.387	85
27	1	27	996	538	0.288	0.144	55
28	1	28	994	538	0.258	0.129	76
29	1	29	991	538	0.387	0.194	20
30	1	30	985	540	0.816	0.408	104
31	1	31	985	540	0.000	0.000	46
32	1	32	982	540	0.387	0.194	30
33	1	33	977	540	0.645	0.323	14
34	1	34	974	541	0.408	0.204	18
35	1	35	971	541	0.387	0.194	29
36	1	36	966	541	0.645	0.323	35
37	1	37	961	543	0.695	0.347	65
38	1	38	961	542	0.129	0.065	52
39	1	39	954	544	0.939	0.470	47
40	1	40	953	543	0.182	0.091	51
41	1	41	952	542	0.182	0.091	125
42	1	42	948	543	0.532	0.266	37
43	1	43	947	543	0.129	0.065	17
44	1	44	945	543	0.258	0.129	33
45	1	45	941	544	0.532	0.266	56
46	1	46	940	544	0.129	0.065	41
47	1	47	938	543	0.288	0.144	67
