	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	494	716	-1.000	-1.000	56
2	1	2	493	716	0.129	0.065	39
3	1	3	492	715	0.182	0.091	23
4	1	4	493	712	0.408	0.204	62
5	1	5	493	712	0.000	0.000	44
6	1	6	493	712	0.000	0.000	57
7	1	7	493	712	0.000	0.000	56
8	1	8	494	711	0.182	0.091	53
9	1	9	494	711	0.000	0.000	78
10	1	10	494	711	0.000	0.000	75
11	1	11	494	711	0.000	0.000	24
12	1	12	494	711	0.000	0.000	60
13	1	13	496	710	0.288	0.144	19
14	1	14	496	709	0.129	0.065	37
15	1	15	496	707	0.258	0.129	45
16	1	16	496	707	0.000	0.000	47
17	1	17	496	706	0.129	0.065	35
18	1	18	496	706	0.000	0.000	78
19	1	19	496	706	0.000	0.000	62
20	1	20	496	706	0.000	0.000	36
21	1	21	495	704	0.288	0.144	17
22	1	22	496	704	0.129	0.065	47
23	1	23	495	704	0.129	0.065	17
24	1	24	495	704	0.000	0.000	42
25	1	25	494	704	0.129	0.065	14
26	1	26	495	702	0.288	0.144	76
27	1	27	495	702	0.000	0.000	63
28	1	28	495	702	0.000	0.000	92
29	1	29	495	701	0.129	0.065	35
30	1	30	495	701	0.000	0.000	53
31	1	31	495	700	0.129	0.065	78
32	1	32	495	700	0.000	0.000	46
33	1	33	494	700	0.129	0.065	82
34	1	34	494	700	0.000	0.000	31
35	1	35	492	699	0.288	0.144	49
36	1	36	492	697	0.258	0.129	34
37	1	37	491	696	0.182	0.091	38
38	1	38	491	696	0.000	0.000	44
39	1	39	492	696	0.129	0.065	66
40	1	40	493	696	0.129	0.065	33
41	1	41	493	695	0.129	0.065	74
42	1	42	495	696	0.288	0.144	32
43	1	43	495	694	0.258	0.129	52
44	1	44	495	694	0.000	0.000	31
45	1	45	495	693	0.129	0.065	37
46	1	46	494	693	0.129	0.065	25
47	1	47	496	692	0.288	0.144	33
48	1	48	496	692	0.000	0.000	61
49	1	49	496	690	0.258	0.129	50
50	1	50	496	690	0.000	0.000	60
51	1	51	495	688	0.288	0.144	58
52	1	52	496	687	0.182	0.091	73
53	1	53	496	686	0.129	0.065	35
54	1	54	497	686	0.129	0.065	108
55	1	55	497	685	0.129	0.065	59
56	1	56	497	685	0.000	0.000	75
57	1	57	496	686	0.182	0.091	34
58	1	58	497	685	0.182	0.091	65
59	1	59	497	685	0.000	0.000	63
60	1	60	495	684	0.288	0.144	32
61	1	61	495	683	0.129	0.065	71
62	1	62	496	679	0.532	0.266	18
63	1	63	496	679	0.000	0.000	33
64	1	64	496	676	0.387	0.194	80
65	1	65	496	675	0.129	0.065	44
66	1	66	495	672	0.408	0.204	50
67	1	67	496	670	0.288	0.144	97
68	1	68	495	667	0.408	0.204	71
69	1	69	495	666	0.129	0.065	34
70	1	70	495	666	0.000	0.000	28
71	1	71	495	665	0.129	0.065	50
72	1	72	495	663	0.258	0.129	23
73	1	73	495	662	0.129	0.065	78
74	1	74	495	661	0.129	0.065	49
75	1	75	495	660	0.129	0.065	46
76	1	76	495	661	0.129	0.065	47
77	1	77	495	659	0.258	0.129	58
78	1	78	495	658	0.129	0.065	49
79	1	79	497	659	0.288	0.144	65
80	1	80	496	656	0.408	0.204	40
81	1	81	495	655	0.182	0.091	42
82	1	82	496	655	0.129	0.065	95
83	1	83	496	654	0.129	0.065	98
84	1	84	495	654	0.129	0.065	70
85	1	85	495	653	0.129	0.065	53
86	1	86	497	651	0.365	0.182	52
87	1	87	497	651	0.000	0.000	39
88	1	88	494	651	0.387	0.194	35
89	1	89	495	651	0.129	0.065	78
90	1	90	497	650	0.288	0.144	67
91	1	91	497	649	0.129	0.065	41
92	1	92	497	647	0.258	0.129	39
93	1	93	497	645	0.258	0.129	50
94	1	94	497	645	0.000	0.000	50
95	1	95	496	644	0.182	0.091	74
96	1	96	496	644	0.000	0.000	55
97	1	97	498	642	0.365	0.182	80
98	1	98	498	641	0.129	0.065	30
99	1	99	499	641	0.129	0.065	15
100	1	100	499	639	0.258	0.129	59
101	1	101	499	637	0.258	0.129	16
102	1	102	499	637	0.000	0.000	89
103	1	103	499	635	0.258	0.129	22
104	1	104	499	638	0.387	0.194	47
105	1	105	499	638	0.000	0.000	24
106	1	106	501	633	0.695	0.347	40
107	1	107	501	633	0.000	0.000	40
108	1	108	501	634	0.129	0.065	28
109	1	109	501	631	0.387	0.194	56
110	1	110	501	631	0.000	0.000	45
111	1	111	499	628	0.465	0.233	52
112	1	112	499	627	0.129	0.065	63
113	1	113	499	624	0.387	0.194	48
114	1	114	499	621	0.387	0.194	4
115	1	115	498	622	0.182	0.091	13
116	1	116	498	622	0.000	0.000	77
117	1	117	498	621	0.129	0.065	57
118	1	118	498	621	0.000	0.000	43
119	1	119	500	618	0.465	0.233	36
120	1	120	500	618	0.000	0.000	42
121	1	121	500	618	0.000	0.000	59
122	1	122	501	615	0.408	0.204	6
123	1	123	502	615	0.129	0.065	72
124	1	124	502	616	0.129	0.065	70
125	1	125	501	617	0.182	0.091	60
126	1	126	501	616	0.129	0.065	49
127	1	127	501	613	0.387	0.194	39
128	1	128	501	612	0.129	0.065	73
129	1	129	499	613	0.288	0.144	14
130	1	130	500	612	0.182	0.091	38
131	1	131	498	608	0.577	0.288	20
132	1	132	498	608	0.000	0.000	110
133	1	133	499	608	0.129	0.065	76
134	1	134	499	607	0.129	0.065	42
135	1	135	498	603	0.532	0.266	40
136	1	136	498	603	0.000	0.000	48
137	1	137	498	603	0.000	0.000	54
138	1	138	499	602	0.182	0.091	82
139	1	139	500	602	0.129	0.065	58
140	1	140	500	602	0.000	0.000	99
141	1	141	500	602	0.000	0.000	41
