	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	737	632	-10.000	-10.000	95
2	1	2	738	632	0.1290	0.0645	159
3	1	3	737	631	0.1824	0.0912	91
4	1	4	737	631	0.0000	0.0000	190
5	1	5	737	631	0.0000	0.0000	92
6	1	6	737	630	0.1290	0.0645	195
7	1	7	737	630	0.0000	0.0000	154
8	1	8	737	630	0.0000	0.0000	140
9	1	9	737	630	0.0000	0.0000	162
10	1	10	737	630	0.0000	0.0000	150
11	1	11	737	630	0.0000	0.0000	135
12	1	12	737	630	0.0000	0.0000	194
13	1	13	737	630	0.0000	0.0000	141
14	1	14	737	630	0.0000	0.0000	59
15	1	15	737	630	0.0000	0.0000	96
16	1	16	737	630	0.0000	0.0000	84
17	1	17	738	628	0.2885	0.1442	183
18	1	18	740	628	0.2580	0.1290	112
19	1	19	740	628	0.0000	0.0000	59
20	1	20	740	628	0.0000	0.0000	68
21	1	21	740	627	0.1290	0.0645	67
22	1	22	740	627	0.0000	0.0000	70
23	1	23	740	627	0.0000	0.0000	87
24	1	24	740	626	0.1290	0.0645	95
25	1	25	740	626	0.0000	0.0000	66
26	1	26	740	626	0.0000	0.0000	95
27	1	27	740	626	0.0000	0.0000	91
28	1	28	740	625	0.1290	0.0645	132
29	1	29	740	625	0.0000	0.0000	154
30	1	30	740	625	0.0000	0.0000	102
31	1	31	740	625	0.0000	0.0000	122
32	1	32	740	625	0.0000	0.0000	150
33	1	33	740	625	0.0000	0.0000	116
34	1	34	740	625	0.0000	0.0000	113
35	1	35	740	625	0.0000	0.0000	114
36	1	36	740	624	0.1290	0.0645	116
37	1	37	740	623	0.1290	0.0645	173
38	1	38	740	622	0.1290	0.0645	122
39	1	39	740	622	0.0000	0.0000	175
40	1	40	740	622	0.0000	0.0000	117
41	1	41	741	622	0.1290	0.0645	109
42	1	42	741	621	0.1290	0.0645	120
43	1	43	741	621	0.0000	0.0000	131
44	1	44	741	621	0.0000	0.0000	142
45	1	45	741	621	0.0000	0.0000	98
46	1	46	741	621	0.0000	0.0000	110
47	1	47	741	621	0.0000	0.0000	60
48	1	48	741	621	0.0000	0.0000	119
49	1	49	741	621	0.0000	0.0000	103
50	1	50	741	620	0.1290	0.0645	81
51	1	51	741	620	0.0000	0.0000	76
52	1	52	741	620	0.0000	0.0000	117
53	1	53	741	620	0.0000	0.0000	89
54	1	54	741	620	0.0000	0.0000	108
55	1	55	742	619	0.1824	0.0912	68
56	1	56	742	618	0.1290	0.0645	65
57	1	57	742	618	0.0000	0.0000	102
58	1	58	744	618	0.2580	0.1290	98
59	1	59	744	618	0.0000	0.0000	54
60	1	60	743	617	0.1824	0.0912	99
61	1	61	743	617	0.0000	0.0000	129
62	1	62	743	617	0.0000	0.0000	103
63	1	63	743	617	0.0000	0.0000	91
64	1	64	743	617	0.0000	0.0000	127
65	1	65	743	617	0.0000	0.0000	102
66	1	66	743	617	0.0000	0.0000	163
67	1	67	743	617	0.0000	0.0000	128
68	1	68	743	617	0.0000	0.0000	103
69	1	69	743	617	0.0000	0.0000	66
70	1	70	743	617	0.0000	0.0000	104
71	1	71	745	616	0.2885	0.1442	150
72	1	72	745	616	0.0000	0.0000	125
73	1	73	745	616	0.0000	0.0000	112
74	1	74	745	616	0.0000	0.0000	167
75	1	75	745	616	0.0000	0.0000	88
76	1	76	745	616	0.0000	0.0000	129
77	1	77	745	616	0.0000	0.0000	107
78	1	78	745	616	0.0000	0.0000	154
79	1	79	745	616	0.0000	0.0000	112
80	1	80	745	616	0.0000	0.0000	114
81	1	81	745	616	0.0000	0.0000	65
82	1	82	745	616	0.0000	0.0000	81
83	1	83	745	616	0.0000	0.0000	76
84	1	84	745	616	0.0000	0.0000	95
85	1	85	745	616	0.0000	0.0000	52
86	1	86	745	616	0.0000	0.0000	66
87	1	87	745	616	0.0000	0.0000	37
88	1	88	745	616	0.0000	0.0000	65
89	1	89	745	615	0.1290	0.0645	73
90	1	90	745	614	0.1290	0.0645	84
91	1	91	745	614	0.0000	0.0000	90
92	1	92	745	614	0.0000	0.0000	81
93	1	93	745	614	0.0000	0.0000	100
94	1	94	745	614	0.0000	0.0000	65
95	1	95	745	614	0.0000	0.0000	33
96	1	96	745	614	0.0000	0.0000	38
97	1	97	745	614	0.0000	0.0000	53
98	1	98	745	614	0.0000	0.0000	56
99	1	99	745	614	0.0000	0.0000	60
100	1	100	745	614	0.0000	0.0000	51
101	1	101	745	614	0.0000	0.0000	44
102	1	102	745	614	0.0000	0.0000	49
103	1	103	745	614	0.0000	0.0000	61
104	1	104	745	614	0.0000	0.0000	54
105	1	105	745	614	0.0000	0.0000	56
106	1	106	745	614	0.0000	0.0000	78
107	1	107	745	614	0.0000	0.0000	41
108	1	108	745	614	0.0000	0.0000	40
109	1	109	745	614	0.0000	0.0000	48
110	1	110	745	614	0.0000	0.0000	61
111	1	111	745	613	0.1290	0.0645	40
112	1	112	745	611	0.2580	0.1290	58
113	1	113	745	611	0.0000	0.0000	64
114	1	114	745	610	0.1290	0.0645	33
115	1	115	745	610	0.0000	0.0000	53
116	1	116	745	610	0.0000	0.0000	66
117	1	117	745	610	0.0000	0.0000	64
118	1	118	745	610	0.0000	0.0000	48
119	1	119	745	610	0.0000	0.0000	61
120	1	120	745	610	0.0000	0.0000	122
121	1	121	746	610	0.1290	0.0645	58
122	1	122	746	610	0.0000	0.0000	50
123	1	123	746	610	0.0000	0.0000	103
124	1	124	746	610	0.0000	0.0000	121
125	1	125	746	609	0.1290	0.0645	66
126	1	126	746	609	0.0000	0.0000	91
127	1	127	746	609	0.0000	0.0000	143
128	1	128	746	609	0.0000	0.0000	77
129	1	129	746	609	0.0000	0.0000	45
130	1	130	746	607	0.2580	0.1290	36
131	1	131	746	607	0.0000	0.0000	46
132	1	132	746	607	0.0000	0.0000	37
133	1	133	746	607	0.0000	0.0000	40
134	1	134	746	606	0.1290	0.0645	140
135	1	135	747	606	0.1290	0.0645	79
136	1	136	747	606	0.0000	0.0000	147
137	1	137	747	606	0.0000	0.0000	83
138	1	138	747	606	0.0000	0.0000	128
139	1	139	747	606	0.0000	0.0000	62
140	1	140	747	606	0.0000	0.0000	74
141	1	141	747	606	0.0000	0.0000	64
142	1	142	747	606	0.0000	0.0000	71
143	1	143	747	606	0.0000	0.0000	114
144	1	144	747	606	0.0000	0.0000	58
145	1	145	747	606	0.0000	0.0000	68
146	1	146	747	606	0.0000	0.0000	107
147	1	147	747	606	0.0000	0.0000	82
148	1	148	747	606	0.0000	0.0000	79
149	1	149	747	606	0.0000	0.0000	55
150	1	150	748	606	0.1290	0.0645	91
151	1	151	748	606	0.0000	0.0000	43
152	1	152	748	603	0.3870	0.1935	26
153	1	153	749	602	0.1824	0.0912	79
154	1	154	749	602	0.0000	0.0000	125
155	1	155	749	602	0.0000	0.0000	78
156	1	156	749	602	0.0000	0.0000	80
157	1	157	749	602	0.0000	0.0000	35
158	1	158	749	602	0.0000	0.0000	21
159	1	159	749	602	0.0000	0.0000	45
160	1	160	749	600	0.2580	0.1290	95
161	1	161	749	600	0.0000	0.0000	89
162	1	162	749	600	0.0000	0.0000	88
163	1	163	749	600	0.0000	0.0000	27
164	1	164	749	600	0.0000	0.0000	52
165	1	165	749	598	0.2580	0.1290	140
166	1	166	749	598	0.0000	0.0000	87
167	1	167	750	597	0.1824	0.0912	78
168	1	168	750	596	0.1290	0.0645	112
169	1	169	750	595	0.1290	0.0645	204
170	1	170	750	595	0.0000	0.0000	114
171	1	171	750	595	0.0000	0.0000	88
172	1	172	751	594	0.1824	0.0912	164
173	1	173	751	594	0.0000	0.0000	103
174	1	174	751	594	0.0000	0.0000	108
175	1	175	752	594	0.1290	0.0645	53
176	1	176	752	594	0.0000	0.0000	45
177	1	177	752	592	0.2580	0.1290	66
178	1	178	752	592	0.0000	0.0000	47
179	1	179	752	590	0.2580	0.1290	87
180	1	180	752	590	0.0000	0.0000	57
181	1	181	752	590	0.0000	0.0000	192
182	1	182	752	590	0.0000	0.0000	102
183	1	183	752	590	0.0000	0.0000	83
184	1	184	752	590	0.0000	0.0000	101
185	1	185	752	589	0.1290	0.0645	111
186	1	186	753	587	0.2885	0.1442	103
187	1	187	753	586	0.1290	0.0645	147
188	1	188	753	586	0.0000	0.0000	142
189	1	189	753	586	0.0000	0.0000	87
190	1	190	753	586	0.0000	0.0000	136
191	1	191	753	586	0.0000	0.0000	93
192	1	192	753	586	0.0000	0.0000	62
193	1	193	753	586	0.0000	0.0000	58
194	1	194	753	586	0.0000	0.0000	105
195	1	195	753	584	0.2580	0.1290	47
196	1	196	754	583	0.1824	0.0912	76
197	1	197	755	582	0.1824	0.0912	85
198	1	198	755	582	0.0000	0.0000	67
199	1	199	755	582	0.0000	0.0000	102
200	1	200	755	582	0.0000	0.0000	62
201	1	201	756	581	0.1824	0.0912	24
202	1	202	756	582	0.1290	0.0645	97
203	1	203	756	581	0.1290	0.0645	129
204	1	204	756	581	0.0000	0.0000	81
205	1	205	756	580	0.1290	0.0645	85
206	1	206	756	580	0.0000	0.0000	48
207	1	207	756	580	0.0000	0.0000	67
208	1	208	756	579	0.1290	0.0645	65
209	1	209	756	578	0.1290	0.0645	71
210	1	210	757	578	0.1290	0.0645	88
211	1	211	757	577	0.1290	0.0645	95
212	1	212	757	577	0.0000	0.0000	127
213	1	213	758	575	0.2885	0.1442	104
214	1	214	758	574	0.1290	0.0645	84
215	1	215	758	574	0.0000	0.0000	42
216	1	216	759	574	0.1290	0.0645	108
217	1	217	760	574	0.1290	0.0645	89
218	1	218	761	573	0.1824	0.0912	60
219	1	219	761	572	0.1290	0.0645	25
220	1	220	761	571	0.1290	0.0645	93
221	1	221	761	570	0.1290	0.0645	70
222	1	222	762	569	0.1824	0.0912	64
223	1	223	762	568	0.1290	0.0645	100
224	1	224	762	566	0.2580	0.1290	98
225	1	225	762	566	0.0000	0.0000	122
226	1	226	762	566	0.0000	0.0000	109
227	1	227	762	565	0.1290	0.0645	63
228	1	228	762	564	0.1290	0.0645	90
229	1	229	764	564	0.2580	0.1290	52
230	1	230	764	564	0.0000	0.0000	98
231	1	231	764	564	0.0000	0.0000	47
232	1	232	765	561	0.4079	0.2040	47
233	1	233	765	561	0.0000	0.0000	45
234	1	234	766	560	0.1824	0.0912	76
235	1	235	766	558	0.2580	0.1290	74
236	1	236	767	558	0.1290	0.0645	34
237	1	237	767	558	0.0000	0.0000	60
238	1	238	768	557	0.1824	0.0912	101
239	1	239	769	556	0.1824	0.0912	41
240	1	240	769	556	0.0000	0.0000	8
241	1	241	769	556	0.0000	0.0000	47
242	1	242	771	554	0.3649	0.1824	64
243	1	243	771	552	0.2580	0.1290	62
244	1	244	771	552	0.0000	0.0000	60
245	1	245	771	551	0.1290	0.0645	59
246	1	246	771	551	0.0000	0.0000	41
247	1	247	773	550	0.2885	0.1442	65
248	1	248	773	550	0.0000	0.0000	63
249	1	249	773	550	0.0000	0.0000	38
250	1	250	773	550	0.0000	0.0000	42
251	1	251	774	548	0.2885	0.1442	51
252	1	252	774	548	0.0000	0.0000	92
253	1	253	774	547	0.1290	0.0645	62
254	1	254	774	546	0.1290	0.0645	53
255	1	255	774	545	0.1290	0.0645	54
256	1	256	774	544	0.1290	0.0645	18
257	1	257	775	543	0.1824	0.0912	50
258	1	258	776	543	0.1290	0.0645	41
259	1	259	776	543	0.0000	0.0000	30
260	1	260	776	543	0.0000	0.0000	60
261	1	261	776	542	0.1290	0.0645	98
