	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	908	993	-10.000	-10.000	165
2	1	2	908	995	0.2580	0.1290	193
3	1	3	906	995	0.2580	0.1290	207
4	1	4	906	995	0.0000	0.0000	41
5	1	5	906	995	0.0000	0.0000	31
6	1	6	903	995	0.3870	0.1935	139
7	1	7	906	995	0.3870	0.1935	43
8	1	8	906	997	0.2580	0.1290	30
9	1	9	903	997	0.3870	0.1935	53
10	1	10	903	999	0.2580	0.1290	36
11	1	11	906	997	0.4651	0.2326	48
12	1	12	908	993	0.5769	0.2885	33
13	1	13	903	991	0.6947	0.3473	255
14	1	14	903	991	0.0000	0.0000	86
15	1	15	901	989	0.3649	0.1824	9
16	1	16	899	989	0.2580	0.1290	12
17	1	17	906	993	10.400	0.5200	255
18	1	18	901	997	0.8260	0.4130	74
19	1	19	901	997	0.0000	0.0000	31
20	1	20	901	997	0.0000	0.0000	1
21	1	21	901	993	0.5160	0.2580	130
22	1	22	901	989	0.5160	0.2580	95
23	1	23	901	989	0.0000	0.0000	45
24	1	24	901	991	0.2580	0.1290	44
25	1	25	901	991	0.0000	0.0000	18
26	1	26	901	991	0.0000	0.0000	139
27	1	27	901	989	0.2580	0.1290	98
28	1	28	906	987	0.6947	0.3473	180
29	1	29	903	987	0.3870	0.1935	255
30	1	30	901	989	0.3649	0.1824	207
31	1	31	901	993	0.5160	0.2580	22
32	1	32	901	993	0.0000	0.0000	37
33	1	33	901	993	0.0000	0.0000	61
34	1	34	901	993	0.0000	0.0000	87
35	1	35	901	993	0.0000	0.0000	81
36	1	36	901	993	0.0000	0.0000	124
37	1	37	901	993	0.0000	0.0000	42
38	1	38	901	993	0.0000	0.0000	82
39	1	39	901	993	0.0000	0.0000	21
40	1	40	901	991	0.2580	0.1290	58
41	1	41	901	991	0.0000	0.0000	17
42	1	42	901	991	0.0000	0.0000	27
43	1	43	901	991	0.0000	0.0000	32
44	1	44	901	991	0.0000	0.0000	53
45	1	45	901	991	0.0000	0.0000	69
46	1	46	901	991	0.0000	0.0000	22
47	1	47	901	991	0.0000	0.0000	36
48	1	48	901	991	0.0000	0.0000	26
49	1	49	897	991	0.5160	0.2580	151
50	1	50	897	989	0.2580	0.1290	71
51	1	51	897	989	0.0000	0.0000	86
52	1	52	897	989	0.0000	0.0000	43
53	1	53	897	989	0.0000	0.0000	69
54	1	54	901	989	0.5160	0.2580	126
55	1	55	901	989	0.0000	0.0000	122
56	1	56	899	987	0.3649	0.1824	255
57	1	57	899	987	0.0000	0.0000	171
58	1	58	901	989	0.3649	0.1824	33
59	1	59	901	987	0.2580	0.1290	45
60	1	60	899	987	0.2580	0.1290	12
61	1	61	899	984	0.3870	0.1935	42
62	1	62	897	984	0.2580	0.1290	68
63	1	63	895	987	0.4651	0.2326	123
64	1	64	895	987	0.0000	0.0000	130
65	1	65	897	987	0.2580	0.1290	19
66	1	66	897	984	0.3870	0.1935	121
67	1	67	897	980	0.5160	0.2580	70
68	1	68	897	982	0.2580	0.1290	186
69	1	69	899	980	0.3649	0.1824	66
70	1	70	899	980	0.0000	0.0000	25
71	1	71	899	980	0.0000	0.0000	41
72	1	72	899	980	0.0000	0.0000	37
73	1	73	899	980	0.0000	0.0000	63
74	1	74	899	978	0.2580	0.1290	82
75	1	75	899	976	0.2580	0.1290	38
76	1	76	899	974	0.2580	0.1290	29
77	1	77	899	974	0.0000	0.0000	34
78	1	78	899	974	0.0000	0.0000	137
79	1	79	899	974	0.0000	0.0000	55
80	1	80	899	974	0.0000	0.0000	66
81	1	81	899	974	0.0000	0.0000	20
82	1	82	899	972	0.2580	0.1290	6
83	1	83	899	972	0.0000	0.0000	61
84	1	84	899	972	0.0000	0.0000	16
85	1	85	899	972	0.0000	0.0000	36
86	1	86	899	972	0.0000	0.0000	85
87	1	87	899	970	0.2580	0.1290	39
88	1	88	899	970	0.0000	0.0000	0
89	1	89	897	967	0.4651	0.2326	74
90	1	90	897	967	0.0000	0.0000	6
91	1	91	897	967	0.0000	0.0000	1
92	1	92	897	963	0.5160	0.2580	58
93	1	93	897	963	0.0000	0.0000	32
94	1	94	897	959	0.5160	0.2580	25
95	1	95	897	959	0.0000	0.0000	38
96	1	96	895	959	0.2580	0.1290	240
97	1	97	895	959	0.0000	0.0000	244
98	1	98	897	957	0.3649	0.1824	90
99	1	99	897	957	0.0000	0.0000	173
100	1	100	897	957	0.0000	0.0000	62
101	1	101	893	959	0.5769	0.2885	173
102	1	102	893	959	0.0000	0.0000	38
103	1	103	893	957	0.2580	0.1290	20
104	1	104	895	955	0.3649	0.1824	7
105	1	105	895	955	0.0000	0.0000	160
106	1	106	895	955	0.0000	0.0000	107
107	1	107	895	955	0.0000	0.0000	231
108	1	108	895	955	0.0000	0.0000	49
109	1	109	895	955	0.0000	0.0000	57
110	1	110	895	955	0.0000	0.0000	45
111	1	111	895	955	0.0000	0.0000	37
112	1	112	895	955	0.0000	0.0000	84
113	1	113	893	952	0.4651	0.2326	62
114	1	114	893	952	0.0000	0.0000	123
115	1	115	893	952	0.0000	0.0000	106
116	1	116	893	952	0.0000	0.0000	103
117	1	117	893	952	0.0000	0.0000	172
118	1	118	893	952	0.0000	0.0000	81
119	1	119	893	950	0.2580	0.1290	193
120	1	120	895	950	0.2580	0.1290	10
121	1	121	895	948	0.2580	0.1290	99
122	1	122	895	948	0.0000	0.0000	125
123	1	123	897	946	0.3649	0.1824	92
124	1	124	897	946	0.0000	0.0000	36
125	1	125	897	944	0.2580	0.1290	102
126	1	126	897	944	0.0000	0.0000	168
127	1	127	897	946	0.2580	0.1290	31
128	1	128	897	946	0.0000	0.0000	55
129	1	129	897	946	0.0000	0.0000	49
130	1	130	897	946	0.0000	0.0000	145
131	1	131	897	946	0.0000	0.0000	36
132	1	132	897	946	0.0000	0.0000	23
133	1	133	897	944	0.2580	0.1290	62
134	1	134	897	944	0.0000	0.0000	40
135	1	135	897	942	0.2580	0.1290	62
136	1	136	897	942	0.0000	0.0000	10
137	1	137	897	940	0.2580	0.1290	127
138	1	138	895	938	0.3649	0.1824	75
139	1	139	895	935	0.3870	0.1935	76
140	1	140	895	935	0.0000	0.0000	70
141	1	141	895	933	0.2580	0.1290	74
142	1	142	897	929	0.5769	0.2885	124
143	1	143	897	929	0.0000	0.0000	234
144	1	144	897	929	0.0000	0.0000	61
