	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	882	1569	-10.000	-10.000	214
2	1	2	882	1567	0.2580	0.1290	37
3	1	3	881	1567	0.1290	0.0645	18
4	1	4	881	1566	0.1290	0.0645	15
5	1	5	879	1563	0.4651	0.2326	0
6	1	6	878	1562	0.1824	0.0912	0
7	1	7	874	1558	0.7297	0.3649	0
8	1	8	871	1555	0.5473	0.2737	23
9	1	9	871	1549	0.7740	0.3870	255
10	1	10	871	1547	0.2580	0.1290	4
11	1	11	867	1546	0.5319	0.2659	42
12	1	12	865	1543	0.4651	0.2326	24
13	1	13	865	1542	0.1290	0.0645	34
14	1	14	862	1541	0.4079	0.2040	0
15	1	15	862	1541	0.0000	0.0000	9
16	1	16	858	1542	0.5319	0.2659	33
17	1	17	858	1538	0.5160	0.2580	13
18	1	18	858	1538	0.0000	0.0000	58
19	1	19	854	1535	0.6450	0.3225	91
20	1	20	850	1530	0.8260	0.4130	6
21	1	21	849	1526	0.5319	0.2659	16
22	1	22	846	1522	0.6450	0.3225	2
23	1	23	841	1519	0.7522	0.3761	41
24	1	24	839	1517	0.3649	0.1824	34
25	1	25	839	1515	0.2580	0.1290	4
26	1	26	839	1510	0.6450	0.3225	26
27	1	27	837	1507	0.4651	0.2326	16
28	1	28	835	1505	0.3649	0.1824	17
29	1	29	833	1501	0.5769	0.2885	201
30	1	30	833	1499	0.2580	0.1290	52
31	1	31	830	1499	0.3870	0.1935	11
32	1	32	829	1497	0.2885	0.1442	0
33	1	33	829	1495	0.2580	0.1290	74
34	1	34	827	1494	0.2885	0.1442	5
35	1	35	823	1489	0.8260	0.4130	17
36	1	36	823	1487	0.2580	0.1290	0
37	1	37	822	1486	0.1824	0.0912	0
38	1	38	822	1485	0.1290	0.0645	2
39	1	39	822	1483	0.2580	0.1290	0
40	1	40	821	1483	0.1290	0.0645	14
41	1	41	819	1481	0.3649	0.1824	0
42	1	42	819	1481	0.0000	0.0000	16
43	1	43	819	1478	0.3870	0.1935	11
44	1	44	817	1478	0.2580	0.1290	1
45	1	45	817	1475	0.3870	0.1935	38
46	1	46	817	1474	0.1290	0.0645	0
47	1	47	817	1473	0.1290	0.0645	14
48	1	48	815	1470	0.4651	0.2326	0
49	1	49	814	1470	0.1290	0.0645	0
50	1	50	814	1469	0.1290	0.0645	0
51	1	51	814	1467	0.2580	0.1290	4
52	1	52	813	1466	0.1824	0.0912	0
53	1	53	813	1465	0.1290	0.0645	0
54	1	54	813	1465	0.0000	0.0000	0
55	1	55	811	1462	0.4651	0.2326	0
56	1	56	811	1462	0.0000	0.0000	0
57	1	57	811	1461	0.1290	0.0645	5
58	1	58	811	1461	0.0000	0.0000	12
59	1	59	811	1459	0.2580	0.1290	35
60	1	60	811	1459	0.0000	0.0000	25
61	1	61	811	1459	0.0000	0.0000	16
62	1	62	811	1459	0.0000	0.0000	35
63	1	63	811	1455	0.5160	0.2580	0
64	1	64	811	1454	0.1290	0.0645	6
65	1	65	810	1454	0.1290	0.0645	8
66	1	66	810	1454	0.0000	0.0000	3
67	1	67	810	1454	0.0000	0.0000	54
68	1	68	810	1454	0.0000	0.0000	8
69	1	69	810	1453	0.1290	0.0645	9
70	1	70	810	1453	0.0000	0.0000	19
71	1	71	810	1453	0.0000	0.0000	0
72	1	72	810	1453	0.0000	0.0000	19
73	1	73	810	1453	0.0000	0.0000	0
74	1	74	810	1453	0.0000	0.0000	12
75	1	75	810	1453	0.0000	0.0000	3
76	1	76	809	1451	0.2885	0.1442	7
77	1	77	809	1451	0.0000	0.0000	2
78	1	78	809	1451	0.0000	0.0000	0
79	1	79	809	1451	0.0000	0.0000	0
80	1	80	809	1451	0.0000	0.0000	0
81	1	81	809	1451	0.0000	0.0000	0
82	1	82	807	1451	0.2580	0.1290	16
83	1	83	807	1451	0.0000	0.0000	2
84	1	84	806	1451	0.1290	0.0645	5
85	1	85	806	1451	0.0000	0.0000	0
86	1	86	806	1451	0.0000	0.0000	28
87	1	87	806	1451	0.0000	0.0000	0
88	1	88	806	1451	0.0000	0.0000	0
89	1	89	806	1451	0.0000	0.0000	16
90	1	90	806	1451	0.0000	0.0000	19
91	1	91	806	1451	0.0000	0.0000	12
92	1	92	806	1451	0.0000	0.0000	0
93	1	93	806	1451	0.0000	0.0000	6
94	1	94	806	1451	0.0000	0.0000	0
95	1	95	806	1451	0.0000	0.0000	0
96	1	96	806	1451	0.0000	0.0000	1
97	1	97	806	1451	0.0000	0.0000	32
98	1	98	806	1451	0.0000	0.0000	9
99	1	99	806	1451	0.0000	0.0000	2
100	1	100	806	1451	0.0000	0.0000	5
101	1	101	806	1451	0.0000	0.0000	0
102	1	102	806	1451	0.0000	0.0000	10
103	1	103	806	1451	0.0000	0.0000	23
104	1	104	801	1451	0.6450	0.3225	6
105	1	105	801	1451	0.0000	0.0000	53
106	1	106	801	1451	0.0000	0.0000	3
107	1	107	801	1449	0.2580	0.1290	38
108	1	108	799	1449	0.2580	0.1290	16
109	1	109	798	1449	0.1290	0.0645	7
110	1	110	797	1449	0.1290	0.0645	0
111	1	111	795	1447	0.3649	0.1824	48
112	1	112	794	1446	0.1824	0.0912	11
113	1	113	794	1446	0.0000	0.0000	15
114	1	114	794	1446	0.0000	0.0000	14
115	1	115	793	1446	0.1290	0.0645	117
116	1	116	793	1446	0.0000	0.0000	36
117	1	117	790	1445	0.4079	0.2040	27
118	1	118	787	1443	0.4651	0.2326	19
119	1	119	786	1441	0.2885	0.1442	5
120	1	120	786	1441	0.0000	0.0000	18
121	1	121	785	1439	0.2885	0.1442	19
122	1	122	785	1439	0.0000	0.0000	9
123	1	123	783	1437	0.3649	0.1824	7
124	1	124	783	1435	0.2580	0.1290	1
125	1	125	782	1434	0.1824	0.0912	14
126	1	126	781	1433	0.1824	0.0912	0
127	1	127	781	1430	0.3870	0.1935	0
128	1	128	781	1430	0.0000	0.0000	0
129	1	129	781	1429	0.1290	0.0645	0
130	1	130	779	1426	0.4651	0.2326	0
131	1	131	779	1425	0.1290	0.0645	10
132	1	132	778	1423	0.2885	0.1442	22
133	1	133	777	1419	0.5319	0.2659	7
134	1	134	774	1414	0.7522	0.3761	0
135	1	135	770	1411	0.6450	0.3225	0
136	1	136	767	1407	0.6450	0.3225	38
137	1	137	765	1405	0.3649	0.1824	42
138	1	138	761	1402	0.6450	0.3225	50
139	1	139	758	1398	0.6450	0.3225	4
140	1	140	753	1391	11.097	0.5548	0
141	1	141	749	1387	0.7297	0.3649	1
142	1	142	746	1381	0.8654	0.4327	14
143	1	143	747	1377	0.5319	0.2659	3
144	1	144	746	1374	0.4079	0.2040	0
145	1	145	743	1371	0.5473	0.2737	17
146	1	146	737	1366	10.075	0.5038	35
147	1	147	733	1359	10.400	0.5200	26
148	1	148	734	1355	0.5319	0.2659	93
149	1	149	734	1357	0.2580	0.1290	28
