	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	910	1404	-10.000	-10.000	0
2	1	2	908	1402	0.3649	0.1824	73
3	1	3	912	1402	0.5160	0.2580	2
4	1	4	912	1404	0.2580	0.1290	63
5	1	5	912	1408	0.5160	0.2580	76
6	1	6	914	1410	0.3649	0.1824	0
7	1	7	914	1412	0.2580	0.1290	16
8	1	8	914	1412	0.0000	0.0000	6
9	1	9	912	1414	0.3649	0.1824	82
10	1	10	912	1414	0.0000	0.0000	84
11	1	11	912	1418	0.5160	0.2580	100
12	1	12	914	1418	0.2580	0.1290	13
13	1	13	918	1418	0.5160	0.2580	0
14	1	14	918	1422	0.5160	0.2580	0
15	1	15	916	1424	0.3649	0.1824	16
16	1	16	914	1426	0.3649	0.1824	46
17	1	17	914	1426	0.0000	0.0000	42
18	1	18	916	1430	0.5769	0.2885	17
19	1	19	914	1432	0.3649	0.1824	0
20	1	20	914	1432	0.0000	0.0000	0
21	1	21	914	1434	0.2580	0.1290	31
22	1	22	912	1440	0.8159	0.4079	0
23	1	23	912	1444	0.5160	0.2580	14
24	1	24	912	1444	0.0000	0.0000	0
25	1	25	912	1444	0.0000	0.0000	0
26	1	26	912	1446	0.2580	0.1290	0
27	1	27	912	1450	0.5160	0.2580	13
28	1	28	912	1456	0.7740	0.3870	0
29	1	29	912	1458	0.2580	0.1290	4
30	1	30	912	1464	0.7740	0.3870	0
31	1	31	912	1466	0.2580	0.1290	0
32	1	32	912	1474	10.320	0.5160	60
33	1	33	912	1476	0.2580	0.1290	99
34	1	34	912	1480	0.5160	0.2580	26
35	1	35	912	1482	0.2580	0.1290	7
36	1	36	912	1484	0.2580	0.1290	0
37	1	37	912	1484	0.0000	0.0000	20
38	1	38	912	1488	0.5160	0.2580	0
39	1	39	912	1490	0.2580	0.1290	35
40	1	40	918	1492	0.8159	0.4079	9
41	1	41	918	1494	0.2580	0.1290	0
42	1	42	918	1494	0.0000	0.0000	0
43	1	43	918	1494	0.0000	0.0000	5
44	1	44	918	1498	0.5160	0.2580	0
45	1	45	920	1498	0.2580	0.1290	25
46	1	46	924	1498	0.5160	0.2580	0
47	1	47	924	1502	0.5160	0.2580	0
48	1	48	926	1502	0.2580	0.1290	45
49	1	49	926	1502	0.0000	0.0000	0
50	1	50	928	1502	0.2580	0.1290	0
51	1	51	928	1502	0.0000	0.0000	0
52	1	52	930	1504	0.3649	0.1824	7
53	1	53	930	1504	0.0000	0.0000	0
54	1	54	930	1504	0.0000	0.0000	25
55	1	55	930	1506	0.2580	0.1290	0
56	1	56	934	1506	0.5160	0.2580	6
57	1	57	934	1506	0.0000	0.0000	3
58	1	58	934	1506	0.0000	0.0000	0
59	1	59	936	1506	0.2580	0.1290	0
60	1	60	936	1508	0.2580	0.1290	7
61	1	61	936	1510	0.2580	0.1290	11
62	1	62	936	1512	0.2580	0.1290	0
63	1	63	936	1512	0.0000	0.0000	5
64	1	64	936	1512	0.0000	0.0000	6
65	1	65	936	1512	0.0000	0.0000	0
66	1	66	936	1512	0.0000	0.0000	0
67	1	67	936	1512	0.0000	0.0000	0
68	1	68	936	1512	0.0000	0.0000	19
69	1	69	936	1512	0.0000	0.0000	6
70	1	70	938	1514	0.3649	0.1824	29
71	1	71	940	1514	0.2580	0.1290	45
72	1	72	940	1514	0.0000	0.0000	22
73	1	73	942	1512	0.3649	0.1824	75
74	1	74	942	1512	0.0000	0.0000	24
75	1	75	944	1512	0.2580	0.1290	75
76	1	76	948	1512	0.5160	0.2580	12
77	1	77	948	1512	0.0000	0.0000	1
78	1	78	950	1512	0.2580	0.1290	0
