	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	1560	1562	-10.000	-10.000	62
2	1	2	1562	1564	0.3649	0.1824	3
3	1	3	1562	1562	0.2580	0.1290	73
4	1	4	1562	1556	0.7740	0.3870	37
5	1	5	1564	1560	0.5769	0.2885	16
6	1	6	1564	1560	0.0000	0.0000	41
7	1	7	1562	1558	0.3649	0.1824	116
8	1	8	1562	1556	0.2580	0.1290	108
9	1	9	1560	1552	0.5769	0.2885	113
10	1	10	1556	1548	0.7297	0.3649	4
11	1	11	1556	1546	0.2580	0.1290	0
12	1	12	1556	1544	0.2580	0.1290	12
13	1	13	1558	1542	0.3649	0.1824	0
14	1	14	1556	1538	0.5769	0.2885	0
15	1	15	1556	1538	0.0000	0.0000	33
16	1	16	1556	1534	0.5160	0.2580	14
17	1	17	1556	1532	0.2580	0.1290	14
18	1	18	1556	1530	0.2580	0.1290	1
19	1	19	1556	1530	0.0000	0.0000	0
20	1	20	1556	1528	0.2580	0.1290	0
21	1	21	1556	1528	0.0000	0.0000	0
22	1	22	1556	1526	0.2580	0.1290	0
23	1	23	1556	1524	0.2580	0.1290	0
24	1	24	1556	1524	0.0000	0.0000	14
25	1	25	1556	1522	0.2580	0.1290	0
26	1	26	1556	1522	0.0000	0.0000	12
27	1	27	1556	1520	0.2580	0.1290	0
28	1	28	1556	1520	0.0000	0.0000	0
29	1	29	1556	1520	0.0000	0.0000	38
30	1	30	1556	1520	0.0000	0.0000	0
31	1	31	1556	1520	0.0000	0.0000	0
32	1	32	1556	1518	0.2580	0.1290	0
33	1	33	1556	1518	0.0000	0.0000	23
34	1	34	1556	1518	0.0000	0.0000	111
35	1	35	1556	1516	0.2580	0.1290	22
36	1	36	1556	1516	0.0000	0.0000	10
37	1	37	1556	1516	0.0000	0.0000	18
38	1	38	1554	1512	0.5769	0.2885	4
39	1	39	1556	1512	0.2580	0.1290	0
40	1	40	1556	1512	0.0000	0.0000	11
41	1	41	1552	1508	0.7297	0.3649	51
42	1	42	1552	1508	0.0000	0.0000	0
43	1	43	1552	1508	0.0000	0.0000	11
44	1	44	1552	1504	0.5160	0.2580	58
45	1	45	1552	1504	0.0000	0.0000	0
46	1	46	1552	1504	0.0000	0.0000	6
47	1	47	1552	1502	0.2580	0.1290	0
48	1	48	1552	1500	0.2580	0.1290	0
49	1	49	1552	1500	0.0000	0.0000	0
50	1	50	1552	1496	0.5160	0.2580	0
51	1	51	1550	1494	0.3649	0.1824	0
52	1	52	1550	1492	0.2580	0.1290	0
53	1	53	1550	1490	0.2580	0.1290	2
54	1	54	1550	1488	0.2580	0.1290	0
55	1	55	1550	1488	0.0000	0.0000	10
56	1	56	1550	1488	0.0000	0.0000	0
57	1	57	1550	1488	0.0000	0.0000	2
58	1	58	1550	1488	0.0000	0.0000	8
59	1	59	1550	1488	0.0000	0.0000	0
60	1	60	1550	1486	0.2580	0.1290	0
61	1	61	1550	1484	0.2580	0.1290	0
62	1	62	1550	1484	0.0000	0.0000	21
63	1	63	1550	1484	0.0000	0.0000	22
64	1	64	1550	1482	0.2580	0.1290	2
65	1	65	1550	1482	0.0000	0.0000	0
66	1	66	1548	1476	0.8159	0.4079	0
67	1	67	1548	1476	0.0000	0.0000	28
68	1	68	1546	1474	0.3649	0.1824	3
69	1	69	1546	1472	0.2580	0.1290	3
70	1	70	1546	1470	0.2580	0.1290	6
71	1	71	1546	1468	0.2580	0.1290	0
72	1	72	1546	1468	0.0000	0.0000	19
73	1	73	1546	1468	0.0000	0.0000	0
74	1	74	1546	1466	0.2580	0.1290	0
75	1	75	1546	1466	0.0000	0.0000	12
76	1	76	1546	1466	0.0000	0.0000	0
77	1	77	1544	1464	0.3649	0.1824	0
78	1	78	1544	1462	0.2580	0.1290	11
79	1	79	1544	1462	0.0000	0.0000	1
80	1	80	1542	1462	0.2580	0.1290	4
81	1	81	1542	1462	0.0000	0.0000	13
82	1	82	1542	1460	0.2580	0.1290	54
83	1	83	1540	1458	0.3649	0.1824	14
84	1	84	1540	1458	0.0000	0.0000	0
85	1	85	1538	1458	0.2580	0.1290	0
86	1	86	1536	1456	0.3649	0.1824	5
87	1	87	1534	1452	0.5769	0.2885	40
88	1	88	1536	1452	0.2580	0.1290	43
89	1	89	1536	1452	0.0000	0.0000	13
90	1	90	1534	1448	0.5769	0.2885	33
91	1	91	1534	1450	0.2580	0.1290	0
92	1	92	1534	1446	0.5160	0.2580	5
93	1	93	1532	1444	0.3649	0.1824	45
94	1	94	1530	1442	0.3649	0.1824	2
95	1	95	1530	1442	0.0000	0.0000	53
96	1	96	1530	1442	0.0000	0.0000	21
97	1	97	1528	1436	0.8159	0.4079	0
98	1	98	1528	1434	0.2580	0.1290	31
99	1	99	1528	1434	0.0000	0.0000	2
100	1	100	1526	1430	0.5769	0.2885	50
101	1	101	1524	1428	0.3649	0.1824	18
102	1	102	1524	1426	0.2580	0.1290	8
103	1	103	1522	1424	0.3649	0.1824	0
104	1	104	1522	1422	0.2580	0.1290	0
105	1	105	1520	1418	0.5769	0.2885	0
106	1	106	1518	1414	0.5769	0.2885	0
107	1	107	1518	1414	0.0000	0.0000	0
108	1	108	1518	1414	0.0000	0.0000	0
109	1	109	1516	1406	10.638	0.5319	0
110	1	110	1516	1404	0.2580	0.1290	2
111	1	111	1516	1402	0.2580	0.1290	0
112	1	112	1514	1398	0.5769	0.2885	0
113	1	113	1514	1396	0.2580	0.1290	0
114	1	114	1514	1394	0.2580	0.1290	0
115	1	115	1514	1394	0.0000	0.0000	0
116	1	116	1512	1394	0.2580	0.1290	0
117	1	117	1512	1388	0.7740	0.3870	0
118	1	118	1510	1384	0.5769	0.2885	6
119	1	119	1510	1384	0.0000	0.0000	6
120	1	120	1510	1382	0.2580	0.1290	1
121	1	121	1504	1370	17.307	0.8654	12
122	1	122	1502	1362	10.638	0.5319	118
123	1	123	1500	1358	0.5769	0.2885	87
